"","Title","count","Category"
"899","COMM AND NETWORK TCHL ANL 4","64","Staff"
"233","ANESTHESIA TCHN 2","64","Med Center"
"791","CLIN NURSE EDUC 4","64","Med Center"
"1576","HEALTH INFO CODER 4","64","Med Center"
"3152","STDT HEALTH PHYSCN 4","64","Acad Staff"
"2108","MGT SVC OFCR 3 SUPV","64",""
"2114","MRI TCHNO","64",""
"2429","PHYS THER 1 PD","64",""
"2459","PHYSCN SR","64",""
"257","APPLICATIONS PRG SUPV 2","63","Staff"
"1570","HEALTH EDUCATOR 3","63","Staff"
"2383","PHARMACIST 5","63","Med Center"
"1942","MAINT MECH","63",""
"2213","OPS ROOM AST 1","63",""
"14","ACAD HR ANL 4","62","Staff"
"536","BIOINFORMATICS PROGR 3","62","Staff"
"3213","STOREKEEPER","62","Staff"
"2508","POSTDOC-EMPLOYEE NEX","62","Research"
"1484","FOOD SVC SUPV 2","61","Staff"
"2686","PUBLICATIONS PROD SPEC 3","61","Staff"
"2220","OPS ROOM SUPP AST","61",""
"2597","PROGR ANL 4 SUPV","61",""
"2402","PHLEBOTOMIST","60","Med Center"
"25","ACAD PRG MGT OFCR 5","60","Acad Staff"
"3173","STDT LIFE DEVT SUPV 2","60","Acad Staff"
